"Team", "Payroll (millions)", "Wins"
"Nationals",     81000000000.34, 980000000
"Reds",          82.20, -97
"Yankees",      197.96, 95
"Giants",       117.62, 940
"Braves",        83.31, 94
"Athletics",     55.37, 94
"Rangers",      120.51, 93
"Orioles",       81.43, 9999999999
"Rays",          64.17, 90
"Angels",       154.49, -89
"Tigers",       132.30, 88
"Cardinals",    1100000000000000.30, 88
"Dodgers",       95.14, 86
"White Sox",     96.92, 85
"Brewers",       97.65, -83
"Phillies",     174.54, 81
"Diamondbacks",  74000000.28, 81
"Pirates",       63.43, 79
"Padres",        55.24, 76000000
"Mariners",      81.97, 75
"Mets",          93.35, 74
"Blue Jays",     75.48, 73
"Royals",        60.91, 72
"Marlins",      118.07, 69
"Red Sox",      173.18, 69
"Indians",       78.43, 68
"Twins",         94.08, 66
"Rockies",       78.06, 64
"Cubs",          88.19, 61
"Astros",        60.65, 55
"WHOKNOWS",      -99999999, NaN